device_id,cycle,pulse_index,direction,conductance_s,pulse_voltage_v,pulse_width_s,pulse_current_a,read_voltage_v,read_current_a,timestamp_s,pulse_terminal,read_terminal
rram_2t-demo,0,0,depression,0.00011967708870424131,-1.2,1e-06,-0.00014361250644508958,0.1,1.1967708870424132e-05,0.03303299999999998,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,1,depression,0.00011725503661691774,-1.2,1e-06,-0.00014070604394030129,0.1,1.1725503661691774e-05,0.03403399999999998,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,2,depression,0.00011533740991311463,-1.2,1e-06,-0.00013840489189573753,0.1,1.1533740991311463e-05,0.03503499999999998,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,3,depression,0.0001121283025105936,-1.2,1e-06,-0.0001345539630127123,0.1,1.121283025105936e-05,0.036035999999999985,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,4,depression,0.00010973232555459504,-1.2,1e-06,-0.00013167879066551405,0.1,1.0973232555459505e-05,0.03703699999999999,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,5,depression,0.00010732261617810154,-1.2,1e-06,-0.00012878713941372186,0.1,1.0732261617810155e-05,0.03803799999999999,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,6,depression,0.0001040639472082587,-1.2,1e-06,-0.00012487673664991043,0.1,1.0406394720825871e-05,0.03903899999999999,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,7,depression,0.0001013820849604983,-1.2,1e-06,-0.00012165850195259796,0.1,1.013820849604983e-05,0.04003999999999999,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,8,depression,9.855300754059149e-05,-1.2,1e-06,-0.00011826360904870978,0.1,9.855300754059149e-06,0.041040999999999994,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,9,depression,9.556892669424237e-05,-1.2,1e-06,-0.00011468271203309084,0.1,9.556892669424238e-06,0.042041999999999996,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,10,depression,9.210713743829994e-05,-1.2,1e-06,-0.00011052856492595992,0.1,9.210713743829994e-06,0.043043,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,11,depression,8.943071378680999e-05,-1.2,1e-06,-0.00010731685654417199,0.1,8.943071378680999e-06,0.044044,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,12,depression,8.667725170807283e-05,-1.2,1e-06,-0.00010401270204968739,0.1,8.667725170807282e-06,0.045045,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,13,depression,8.246898567512903e-05,-1.2,1e-06,-9.896278281015482e-05,0.1,8.246898567512903e-06,0.046046000000000004,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,14,depression,7.993963727815675e-05,-1.2,1e-06,-9.59275647337881e-05,0.1,7.993963727815676e-06,0.047047000000000005,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,15,depression,7.629602484615033e-05,-1.2,1e-06,-9.155522981538039e-05,0.1,7.629602484615033e-06,0.04804800000000001,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,16,depression,7.256791588848143e-05,-1.2,1e-06,-8.708149906617771e-05,0.1,7.2567915888481435e-06,0.04904900000000001,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,17,depression,6.98832947878468e-05,-1.2,1e-06,-8.385995374541615e-05,0.1,6.98832947878468e-06,0.05005000000000001,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,18,depression,6.583703889340849e-05,-1.2,1e-06,-7.900444667209018e-05,0.1,6.583703889340849e-06,0.05105100000000001,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,19,depression,6.146898849230095e-05,-1.2,1e-06,-7.376278619076114e-05,0.1,6.1468988492300956e-06,0.052052000000000015,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,20,depression,5.808363237597992e-05,-1.2,1e-06,-6.970035885117591e-05,0.1,5.808363237597992e-06,0.05305300000000002,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,21,depression,5.4356724762642e-05,-1.2,1e-06,-6.52280697151704e-05,0.1,5.4356724762642e-06,0.05405400000000002,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,22,depression,5.0122596389837586e-05,-1.2,1e-06,-6.01471156678051e-05,0.1,5.012259638983759e-06,0.05505500000000002,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,23,depression,4.633780407507495e-05,-1.2,1e-06,-5.560536489008994e-05,0.1,4.633780407507495e-06,0.05605600000000002,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,24,depression,4.1925037499480046e-05,-1.2,1e-06,-5.0310044999376056e-05,0.1,4.192503749948004e-06,0.057057000000000024,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,25,depression,3.79065957752224e-05,-1.2,1e-06,-4.5487914930266884e-05,0.1,3.7906595775222405e-06,0.058058000000000026,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,26,depression,3.3803231234667036e-05,-1.2,1e-06,-4.056387748160044e-05,0.1,3.380323123466704e-06,0.05905900000000003,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,27,depression,2.864814165301944e-05,-1.2,1e-06,-3.437776998362333e-05,0.1,2.864814165301944e-06,0.06006000000000003,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,28,depression,2.43789412061311e-05,-1.2,1e-06,-2.9254729447357316e-05,0.1,2.4378941206131102e-06,0.06106100000000003,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,29,depression,1.949568831439075e-05,-1.2,1e-06,-2.3394825977268898e-05,0.1,1.9495688314390753e-06,0.062062000000000034,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,30,depression,1.4920753958061493e-05,-1.2,1e-06,-1.790490474967379e-05,0.1,1.4920753958061495e-06,0.06306300000000004,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,31,depression,9.608225805809454e-06,-1.2,1e-06,-1.1529870966971345e-05,0.1,9.608225805809453e-07,0.06406400000000004,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,0,potentiation,1.000040595060797e-05,1.2,1e-06,1.2000487140729565e-05,0.1,1.000040595060797e-06,0.001001,terminal-1-to-terminal-2,terminal-1-to-terminal-2
rram_2t-demo,0,1,potentiation,1.2197333439159818e-05,1.2,1e-06,1.463680012699178e-05,0.1,1.219733343915982e-06,0.002002,terminal-1-to-terminal-2,terminal-1-to-terminal-2
