device_id,cycle,pulse_index,direction,conductance_s,pulse_voltage_v,pulse_width_s,pulse_current_a,read_voltage_v,read_current_a,timestamp_s,pulse_terminal,read_terminal,gate_voltage_v,gate_current_a,drain_voltage_v,drain_current_a,source_voltage_v,source_current_a
ecram_tft_3t-demo,0,0,depression,0.00017951563305636196,-1.0,0.001,-1.2e-07,0.1,1.7951563305636198e-05,0.06600000000000004,gate-to-source,drain-to-source,-1.0,-1.2e-07,0.1,1.7951563305636198e-05,0.0,-1.7951563305636198e-05
ecram_tft_3t-demo,0,1,depression,0.0001758825549253766,-1.0,0.001,-1.2187286709135482e-07,0.1,1.758825549253766e-05,0.06800000000000005,gate-to-source,drain-to-source,-1.0,-1.2187286709135482e-07,0.1,1.758825549253766e-05,0.0,-1.758825549253766e-05
ecram_tft_3t-demo,0,2,depression,0.00017300611486967195,-1.0,0.001,-1.2367376095070483e-07,0.1,1.7300611486967195e-05,0.07000000000000005,gate-to-source,drain-to-source,-1.0,-1.2367376095070483e-07,0.1,1.7300611486967195e-05,0.0,-1.7300611486967195e-05
ecram_tft_3t-demo,0,3,depression,0.0001681924537658904,-1.0,0.001,-1.2533347423698817e-07,0.1,1.6819245376589042e-05,0.07200000000000005,gate-to-source,drain-to-source,-1.0,-1.2533347423698817e-07,0.1,1.6819245376589042e-05,0.0,-1.6819245376589042e-05
ecram_tft_3t-demo,0,4,depression,0.00016459848833189254,-1.0,0.001,-1.2678822509939085e-07,0.1,1.6459848833189253e-05,0.07400000000000005,gate-to-source,drain-to-source,-1.0,-1.2678822509939085e-07,0.1,1.6459848833189253e-05,0.0,-1.6459848833189253e-05
ecram_tft_3t-demo,0,5,depression,0.00016098392426715233,-1.0,0.001,-1.2798210827810443e-07,0.1,1.6098392426715232e-05,0.07600000000000005,gate-to-source,drain-to-source,-1.0,-1.2798210827810443e-07,0.1,1.6098392426715232e-05,0.0,-1.6098392426715232e-05
ecram_tft_3t-demo,0,6,depression,0.00015609592081238804,-1.0,0.001,-1.2886924351210836e-07,0.1,1.5609592081238803e-05,0.07800000000000006,gate-to-source,drain-to-source,-1.0,-1.2886924351210836e-07,0.1,1.5609592081238803e-05,0.0,-1.5609592081238803e-05
ecram_tft_3t-demo,0,7,depression,0.00015207312744074745,-1.0,0.001,-1.2941553869187098e-07,0.1,1.5207312744074746e-05,0.08000000000000006,gate-to-source,drain-to-source,-1.0,-1.2941553869187098e-07,0.1,1.5207312744074746e-05,0.0,-1.5207312744074746e-05
ecram_tft_3t-demo,0,8,depression,0.00014782951131088722,-1.0,0.001,-1.296e-07,0.1,1.4782951131088723e-05,0.08200000000000006,gate-to-source,drain-to-source,-1.0,-1.296e-07,0.1,1.4782951131088723e-05,0.0,-1.4782951131088723e-05
ecram_tft_3t-demo,0,9,depression,0.00014335339004136355,-1.0,0.001,-1.2941553869187098e-07,0.1,1.4335339004136356e-05,0.08400000000000006,gate-to-source,drain-to-source,-1.0,-1.2941553869187098e-07,0.1,1.4335339004136356e-05,0.0,-1.4335339004136356e-05
